ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11937199,JC566071,2019-12-31 01:15:00,051XX W FULTON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,True,False,1532,15.0,28.0,25.0,14,1141864.0,1901453.0,2019,01/07/2020 03:52:21 PM,41.885651736999996,-87.75450711399999,"(41.885651737, -87.754507114)"
11938332,JD100407,2019-12-31 22:00:00,061XX S RICHMOND ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,823,8.0,16.0,66.0,14,1157765.0,1863870.0,2019,01/07/2020 03:52:21 PM,41.78221038,-87.697137288,"(41.78221038, -87.697137288)"
11937528,JC566449,2019-12-31 12:30:00,002XX S LOTUS AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,False,False,1522,15.0,29.0,25.0,04B,1139915.0,1898582.0,2019,01/07/2020 03:52:21 PM,41.877809197,-87.761734553,"(41.877809197, -87.761734553)"
11938015,JC567010,2019-12-31 22:22:00,027XX S KARLOV AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,True,False,1031,10.0,22.0,30.0,15,1149489.0,1885568.0,2019,01/07/2020 03:52:21 PM,41.841916851,-87.726918365,"(41.841916851, -87.726918365)"
11938250,JD100270,2019-12-31 17:45:00,106XX S CHAMPLAIN AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,512,5.0,9.0,50.0,05,1182493.0,1834467.0,2019,01/07/2020 03:52:21 PM,41.70098745,-87.60738756100001,"(41.70098745, -87.607387561)"
11938006,JC567026,2019-12-31 22:50:00,008XX W ROSCOE ST,0460,BATTERY,SIMPLE,STREET,True,False,1924,19.0,44.0,6.0,08B,1170078.0,1922780.0,2019,01/07/2020 03:52:21 PM,41.943605226,-87.650276034,"(41.943605226, -87.650276034)"
11937592,JC566593,2019-12-31 14:27:00,105XX S DR MARTIN LUTHER KING JR DR,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,True,False,512,5.0,9.0,49.0,26,1180780.0,1835078.0,2019,01/07/2020 03:52:21 PM,41.702703568000004,-87.613641219,"(41.702703568, -87.613641219)"
11937178,JC566059,2019-12-31 00:58:00,052XX W CONGRESS PKWY,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,False,True,1522,15.0,29.0,25.0,08B,1141620.0,1897182.0,2019,01/07/2020 03:52:21 PM,41.873936087,-87.75550873899999,"(41.873936087, -87.755508739)"
11937391,JC566240,2019-12-31 09:42:00,118XX S SANGAMON ST,0460,BATTERY,SIMPLE,STREET,False,False,524,5.0,34.0,53.0,08B,1172119.0,1826415.0,2019,01/07/2020 03:52:21 PM,41.679125166,-87.645608775,"(41.679125166, -87.645608775)"
11943685,JD105378,2019-12-31 09:00:00,048XX N KEDZIE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,False,False,1713,17.0,33.0,14.0,11,1154169.0,1932021.0,2019,01/09/2020 03:55:23 PM,41.969296124,-87.708502376,"(41.969296124, -87.708502376)"
11937238,JC566075,2019-12-31 02:10:00,061XX S VERNON AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,313,3.0,20.0,42.0,04B,1180307.0,1864345.0,2019,05/19/2020 03:49:26 PM,41.783026429,-87.61447796799999,"(41.783026429, -87.614477968)"
11937641,JC566592,2019-12-31 14:39:00,041XX S ARCHER AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,False,False,921,9.0,12.0,58.0,06,1157858.0,1877234.0,2019,01/07/2020 03:52:21 PM,41.818881101,-87.69643327899999,"(41.818881101, -87.696433279)"
11937963,JC567049,2019-12-31 23:21:00,101XX S NORMAL AVE,5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,STREET,True,False,2232,22.0,9.0,73.0,26,1174759.0,1837501.0,2019,01/07/2020 03:52:21 PM,41.709488593,-87.635616613,"(41.709488593, -87.635616613)"
11937572,JC566514,2019-12-31 13:20:00,003XX N AUSTIN BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1512,15.0,29.0,25.0,08B,1136323.0,1901618.0,2019,01/07/2020 03:52:21 PM,41.886205276,-87.77485115,"(41.886205276, -87.77485115)"
11937281,JC566100,2019-12-31 01:00:00,039XX W JACKSON BLVD,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,False,False,1122,11.0,28.0,26.0,04B,1150250.0,1898399.0,2019,01/07/2020 03:52:21 PM,41.877111878,-87.723791419,"(41.877111878, -87.723791419)"
11937863,JC566919,2019-12-31 20:00:00,004XX W 61ST PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,711,7.0,20.0,68.0,08B,1174425.0,1864158.0,2019,01/07/2020 03:52:21 PM,41.782646198,-87.63604868799999,"(41.782646198, -87.636048688)"
11937794,JC566571,2019-12-31 13:10:00,015XX N CLARK ST,0320,ROBBERY,STRONGARM - NO WEAPON,GROCERY FOOD STORE,False,False,1824,18.0,2.0,8.0,03,1175250.0,1910583.0,2019,01/07/2020 03:52:21 PM,41.910021537,-87.631633283,"(41.910021537, -87.631633283)"
11937460,JC566307,2019-12-31 09:47:00,114XX S EGGLESTON AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,False,True,2233,22.0,34.0,49.0,04B,1175342.0,1829080.0,2019,01/07/2020 03:52:21 PM,41.686367139,-87.63373209299999,"(41.686367139, -87.633732093)"
