ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11708331,JC288729,2019-06-01 18:30:00,038XX N ODELL AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1631,16.0,38.0,17.0,06,1126394.0,1924561.0,2019,06/30/2019 03:56:27 PM,41.949335465,-87.810800155,"(41.949335465, -87.810800155)"
11708335,JC288884,2019-06-02 11:55:00,036XX N RECREATION DR,0560,ASSAULT,SIMPLE,PARK PROPERTY,True,False,1925,19.0,46.0,6.0,08A,1172031.0,1924865.0,2019,06/30/2019 03:56:27 PM,41.949283608,-87.643036076,"(41.949283608, -87.643036076)"
11708340,JC288821,2019-06-01 22:15:00,017XX W 21ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1234,12.0,25.0,31.0,14,1165010.0,1890119.0,2019,06/30/2019 03:56:27 PM,41.854090394,-87.66983193,"(41.854090394, -87.66983193)"
11708326,JC288907,2019-06-02 00:30:00,081XX S ELIZABETH ST,0890,THEFT,FROM BUILDING,APARTMENT,False,False,613,6.0,21.0,71.0,06,1169406.0,1850829.0,2019,06/30/2019 03:56:27 PM,41.746179924,-87.65483527200001,"(41.746179924, -87.654835272)"
11708338,JC288768,2019-06-02 09:43:00,006XX W 63RD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,True,False,723,7.0,20.0,68.0,15,1173239.0,1863118.0,2019,06/30/2019 03:56:27 PM,41.779818631,-87.640427625,"(41.779818631, -87.640427625)"
11708333,JC288899,2019-06-01 15:00:00,004XX N WELLS ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,1831,18.0,42.0,8.0,06,1174661.0,1903052.0,2019,06/30/2019 03:56:27 PM,41.889369287,-87.634022523,"(41.889369287, -87.634022523)"
11709011,JC289624,2019-06-02 13:30:00,054XX S LAKE PARK AVE,0460,BATTERY,SIMPLE,STREET,False,False,234,2.0,5.0,41.0,08B,1187685.0,1869633.0,2019,06/30/2019 03:56:27 PM,41.797364656999996,-87.58725999299999,"(41.797364657, -87.587259993)"
11709135,JC286626,2019-05-31 11:05:00,0000X W C27 ST,1570,SEX OFFENSE,PUBLIC INDECENCY,AIRCRAFT,False,False,1651,16.0,41.0,76.0,17,1099468.0,1935870.0,2019,06/30/2019 03:56:27 PM,41.98077686,-87.909573855,"(41.98077686, -87.909573855)"
11710060,JC291010,2019-06-03 21:14:00,040XX S DR MARTIN LUTHER KING JR DR,031A,ROBBERY,ARMED: HANDGUN,STREET,False,False,213,2.0,3.0,38.0,03,1179521.0,1878336.0,2019,06/30/2019 03:56:27 PM,41.821436965,-87.616932134,"(41.821436965, -87.616932134)"
11698652,JC277129,2019-05-24 19:00:00,068XX S CALUMET AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,322,3.0,20.0,69.0,14,1179662.0,1859635.0,2019,06/30/2019 03:56:27 PM,41.770116488,-87.61698656700001,"(41.770116488, -87.616986567)"
11710337,JC291241,2019-06-01 19:00:00,023XX W MARQUETTE RD,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER,False,False,832,8.0,17.0,66.0,11,1162000.0,1860173.0,2019,06/30/2019 03:56:27 PM,41.771978272,-87.681713242,"(41.771978272, -87.681713242)"
11698331,JC276379,2019-05-24 09:20:00,039XX W 79TH ST,0460,BATTERY,SIMPLE,CTA BUS,True,False,833,8.0,18.0,70.0,08B,1151338.0,1851934.0,2019,06/30/2019 03:56:27 PM,41.749584118,-87.721012209,"(41.749584118, -87.721012209)"
11710736,JC290499,2019-05-31 22:55:00,001XX N JEFFERSON ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,True,121,1.0,42.0,28.0,26,1172295.0,1901507.0,2019,06/30/2019 03:56:27 PM,41.885182294,-87.642757034,"(41.885182294, -87.642757034)"
